Response_ID,What year were you born,Gender,Tenure,Industry,Organisation size,Household Type,Metro or Regional,Pay cut willingness to work remotely,Productivity while working remotely
755,2000,Female,Between 1 and 5 years,Service Industry,More than 200,Other one family household,Metro,No,No Change
756,1979,Female,Between 1 and 5 years,Retail and Food,More than 200,Single person,Metro,No,50% More productive
757,1971,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Regional,No,No Change
758,1970,Female,Between 1 and 5 years,Retail and Food,More than 200,Other one family household,Metro,No,50% More productive
759,1994,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Single person,Metro,No,50% More productive
760,2002,Female,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,No,10% Less productive
761,1959,Male,More than 5 years,Manufacturing and trade,Between 1 and 4,Couple with dependent children,Metro,Yes,50% More productive
762,1969,Male,More than 5 years,Retail and Food,More than 200,Single person,Metro,No,10% Less productive
763,1997,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,No Change
764,1980,Male,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Metro,Yes,30% More productive
765,1994,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,No Change
766,1971,Female,Between 6 and 12 months,Public and utility services,More than 200,Couple with dependent children,Metro,Yes,30% More productive
767,1962,Male,Between 6 and 12 months,Manufacturing and trade,Between 5 and 19,Other one family household,Metro,Yes,20% More productive
768,1982,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,50% More productive
769,1976,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
770,1969,Male,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,20% Less productive
771,1985,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,No Change
772,1977,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
773,1968,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
774,1995,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,No,30% Less productive
775,1968,Male,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with dependent children,Metro,No,20% More productive
776,1992,Male,Between 1 and 5 years,Service Industry,More than 200,Group household,Metro,No,50% More productive
777,1991,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,No,No Change
778,1976,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,Yes,40% More productive
779,1985,Female,More than 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Metro,No,30% More productive
780,1983,Male,Between 6 and 12 months,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,No,20% Less productive
781,1970,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,30% More productive
782,1986,Male,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Metro,No,30% More productive
783,1985,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,10% Less productive
784,1970,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,20% More productive
785,1986,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,40% More productive
786,1971,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Regional,No,40% Less productive
787,1967,Female,More than 5 years,Public and utility services,Between 20 and 199,Couple with dependent children,Metro,No,50% More productive
788,1960,Male,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No,No Change
789,1971,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No,40% More productive
790,1988,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Regional,Yes,50% More productive
791,1957,Male,More than 5 years,Service Industry,Between 5 and 19,Single person,Metro,No,20% More productive
792,1966,Male,More than 5 years,Public and utility services,More than 200,Single person,Metro,No,30% More productive
793,1990,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,No Change
794,1964,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Group household,Metro,No,40% Less productive
795,1977,Female,More than 5 years,Manufacturing and trade,Between 5 and 19,One parent family with dependent children,Metro,Yes,No Change
796,1997,Male,Between 6 and 12 months,Service Industry,I am a sole trader/owner-operator,Couple with no dependent children,Regional,No,No Change
797,1975,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% More productive
798,1981,Female,Between 1 and 5 years,Retail and Food,More than 200,Couple with dependent children,Metro,No,50% Less productive
799,1957,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No,No Change
800,1980,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,Yes,50% More productive
801,1980,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Regional,Yes,50% More productive
802,1960,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No,No Change
803,1966,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,50% More productive
804,1965,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,50% Less productive
805,1985,Male,More than 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,Yes,20% More productive
806,1959,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,20% More productive
807,1969,Male,More than 5 years,Service Industry,I am a sole trader/owner-operator,Couple with dependent children,Metro,No,50% More productive
808,1966,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,20% Less productive
809,1964,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,20% More productive
810,1992,Male,Between 1 and 5 years,Public and utility services,I am a sole trader/owner-operator,Group household,Metro,Yes,50% More productive
811,1965,Male,More than 5 years,Service Industry,More than 200,Multiple family household,Metro,Yes,50% More productive
812,1960,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No,50% Less productive
813,1971,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,40% More productive
814,1963,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,No,10% More productive
815,1982,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% More productive
816,2000,Male,More than 5 years,Manufacturing and trade,Between 5 and 19,Couple with no dependent children,Metro,Yes,30% More productive
817,1973,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,30% More productive
818,1961,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No,No Change
819,1988,Female,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Metro,Yes,10% Less productive
820,1980,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,Yes,No Change
821,1972,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
822,1994,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Group household,Metro,Yes,20% More productive
823,1993,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,30% More productive
824,1983,Female,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Other one family household,Metro,No,10% More productive
825,1972,Male,More than 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,No,20% Less productive
826,1963,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Single person,Metro,No,30% More productive
827,1965,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,40% More productive
828,1981,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,50% More productive
829,1965,Male,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,No,10% More productive
830,1981,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,No,50% More productive
831,1970,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Single person,Regional,Yes,20% Less productive
832,1976,Male,More than 5 years,Service Industry,More than 200,One parent family with dependent children,Metro,No,No Change
833,1971,Male,Between 1 and 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,Yes,20% More productive
834,1963,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,50% More productive
835,1973,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
836,1976,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Group household,Metro,No,20% More productive
837,1988,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,Yes,50% More productive
838,1970,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,Yes,10% More productive
839,1968,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Regional,No,No Change
840,1996,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,30% More productive
841,1986,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Regional,Yes,20% More productive
842,1984,Female,More than 5 years,Public and utility services,Between 5 and 19,Couple with dependent children,Metro,Yes,10% Less productive
843,1993,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,50% More productive
844,2002,Male,More than 5 years,Retail and Food,More than 200,Other one family household,Metro,No,No Change
845,1977,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,30% More productive
846,1998,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,30% Less productive
847,1981,Male,More than 5 years,Public and utility services,Between 5 and 19,Couple with no dependent children,Metro,No,40% More productive
848,1970,Male,More than 5 years,Service Industry,More than 200,Other one family household,Regional,No,No Change
849,1980,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% More productive
850,1972,Female,More than 5 years,Manufacturing and trade,Between 20 and 199,One parent family with dependent children,Metro,Yes,10% More productive
851,1967,Male,More than 5 years,Service Industry,More than 200,Single person,Regional,Yes,20% More productive
852,1958,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with no dependent children,Regional,No,50% More productive
853,1998,Female,Between 6 and 12 months,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No,50% More productive
854,1973,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,No,20% Less productive
855,1983,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,20% Less productive
856,1988,Female,Between 1 and 5 years,Public and utility services,Between 20 and 199,Couple with no dependent children,Metro,Yes,40% More productive
857,1983,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,50% More productive
858,1993,Female,Between 1 and 5 years,Retail and Food,I am a sole trader/owner-operator,Group household,Metro,No,40% More productive
859,1992,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,One parent family with dependent children,Metro,Yes,20% Less productive
860,1983,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No,No Change
861,1977,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,No,No Change
862,1992,Male,Between 6 and 12 months,Public and utility services,I am a sole trader/owner-operator,Group household,Metro,Yes,50% More productive
863,1982,Female,Between 1 and 5 years,Service Industry,More than 200,One parent family with dependent children,Regional,No,20% Less productive
864,1978,Male,More than 5 years,Service Industry,More than 200,Multiple family household,Metro,No,50% More productive
865,1980,Female,More than 5 years,Manufacturing and trade,Between 20 and 199,Couple with dependent children,Regional,No,30% More productive
866,1989,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,10% Less productive
867,1992,Female,Between 1 and 5 years,Retail and Food,More than 200,Single person,Metro,No,50% More productive
868,1957,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,30% More productive
869,1961,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,30% More productive
870,1957,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,No Change
871,1963,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,20% More productive
872,1974,Male,Between 6 and 12 months,Manufacturing and trade,More than 200,Couple with dependent children,Metro,No,No Change
873,1961,Male,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,No,No Change
874,1980,Male,More than 5 years,Service Industry,I am a sole trader/owner-operator,Couple with dependent children,Regional,Yes,No Change
875,1996,Male,More than 5 years,Retail and Food,Between 5 and 19,Couple with dependent children,Regional,No,20% Less productive
876,1988,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,No,20% Less productive
877,1970,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Single person,Metro,No,10% More productive
878,1958,Male,Between 1 and 5 years,Manufacturing and trade,Between 20 and 199,Single person,Regional,No,No Change
879,1995,Male,More than 5 years,Public and utility services,Between 20 and 199,One parent family with dependent children,Regional,Yes,40% More productive
880,1973,Male,Between 6 and 12 months,Manufacturing and trade,More than 200,Couple with dependent children,Metro,No,10% More productive
881,1970,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,20% More productive
882,1980,Male,More than 5 years,Service Industry,More than 200,One parent family with dependent children,Regional,Yes,No Change
883,1973,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,50% More productive
884,1989,Male,More than 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,Yes,50% More productive
885,1995,Female,Between 1 and 5 years,Public and utility services,More than 200,One parent family with dependent children,Metro,Yes,No Change
886,1973,Female,More than 5 years,Public and utility services,More than 200,Multiple family household,Metro,No,No Change
887,1997,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,Yes,No Change
888,1974,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,20% Less productive
889,1967,Male,Between 1 and 5 years,Service Industry,More than 200,Single person,Regional,No,30% Less productive
890,1967,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
891,1967,Male,More than 5 years,Retail and Food,Between 5 and 19,Couple with dependent children,Metro,No,30% More productive
892,1983,Male,More than 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,No,10% More productive
893,1957,Male,More than 5 years,Retail and Food,Between 5 and 19,Couple with no dependent children,Regional,No,50% More productive
894,1996,Female,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,50% More productive
895,1996,Female,Between 6 and 12 months,Public and utility services,Between 20 and 199,Single person,Regional,No,50% More productive
896,1974,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No,No Change
897,1973,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,No,10% More productive
898,1974,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,10% More productive
899,1962,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,Yes,40% More productive
900,1969,Male,Between 6 and 12 months,Public and utility services,More than 200,Couple with dependent children,Metro,No,No Change
901,2000,Female,Between 1 and 5 years,Service Industry,More than 200,One parent family with dependent children,Metro,No,10% Less productive
902,1968,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,40% More productive
903,1980,Female,More than 5 years,Service Industry,Between 20 and 199,One parent family with dependent children,Metro,Yes,40% More productive
904,1987,Female,Between 6 and 12 months,Service Industry,Between 5 and 19,Couple with dependent children,Metro,No,20% More productive
905,1961,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,20% More productive
906,1969,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,50% More productive
907,1985,Female,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,50% More productive
908,1963,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
909,1983,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Regional,Yes,10% More productive
910,1965,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,No Change
911,1986,Male,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Regional,No,50% More productive
912,1975,Female,Between 1 and 5 years,Public and utility services,I am a sole trader/owner-operator,Single person,Metro,No,50% More productive
913,1981,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
914,1995,Male,Between 1 and 5 years,Service Industry,I am a sole trader/owner-operator,Couple with dependent children,Metro,No,30% More productive
915,1977,Female,More than 5 years,Service Industry,More than 200,Multiple family household,Metro,Yes,30% More productive
916,1972,Male,Between 1 and 5 years,Manufacturing and trade,Between 1 and 4,Other one family household,Metro,Yes,20% More productive
917,1960,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,No,50% More productive
918,1967,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,No,10% More productive
919,1989,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
920,1985,Male,More than 5 years,Retail and Food,Between 5 and 19,Couple with dependent children,Metro,No,50% More productive
921,1965,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No,No Change
922,1973,Male,More than 5 years,Manufacturing and trade,Between 1 and 4,Couple with dependent children,Regional,No,No Change
923,1965,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,No Change
924,1963,Male,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
925,1975,Female,More than 5 years,Service Industry,More than 200,Multiple family household,Metro,No,No Change
926,1995,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Group household,Metro,Yes,10% Less productive
927,1987,Male,Between 1 and 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,No,50% More productive
928,1967,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,No Change
929,1971,Male,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,No Change
930,1975,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
931,1958,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
932,1957,Male,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,No,50% Less productive
933,1989,Male,More than 5 years,Public and utility services,More than 200,Couple with no dependent children,Metro,No,10% More productive
934,1999,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Single person,Metro,No,20% Less productive
935,1985,Male,Between 1 and 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,No Change
936,1963,Male,More than 5 years,Service Industry,More than 200,Single person,Metro,Yes,20% More productive
937,1986,Female,More than 5 years,Public and utility services,Between 20 and 199,Couple with no dependent children,Metro,Yes,50% More productive
938,1987,Female,More than 5 years,Service Industry,I am a sole trader/owner-operator,Couple with dependent children,Metro,No,No Change
939,1980,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,No,No Change
940,1992,Male,More than 5 years,Manufacturing and trade,Between 20 and 199,Other one family household,Metro,No,30% More productive
941,1983,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with no dependent children,Metro,No,50% More productive
942,1971,Female,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No,30% More productive
943,1973,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No,50% More productive
944,1967,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Regional,No,30% More productive
945,1982,Male,Between 1 and 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,No,10% Less productive
946,1977,Female,More than 5 years,Service Industry,Between 5 and 19,Single person,Regional,No,20% More productive
947,1966,Female,Between 1 and 5 years,Service Industry,More than 200,One parent family with dependent children,Metro,No,50% More productive
948,1982,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,20% Less productive
949,1976,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,No,No Change
950,1971,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
951,1976,Male,More than 5 years,Manufacturing and trade,Between 1 and 4,Group household,Metro,No,50% More productive
952,1997,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,Yes,10% More productive
953,1989,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,Yes,50% More productive
954,1971,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
955,1999,Male,Between 1 and 5 years,Manufacturing and trade,I am a sole trader/owner-operator,Couple with no dependent children,Regional,Yes,30% More productive
956,1997,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,10% More productive
957,1969,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with dependent children,Metro,No,No Change
958,2000,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Group household,Metro,No,10% Less productive
959,1991,Female,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Regional,Yes,50% More productive
960,1958,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,50% More productive
961,1966,Male,Between 6 and 12 months,Service Industry,Between 20 and 199,Couple with dependent children,Metro,No,40% More productive
962,1977,Female,More than 5 years,Service Industry,Between 1 and 4,Single person,Regional,No,50% More productive
963,2000,Female,Between 6 and 12 months,Public and utility services,More than 200,Multiple family household,Regional,No,50% More productive
964,1994,Female,Between 1 and 5 years,Manufacturing and trade,Between 5 and 19,Couple with no dependent children,Metro,Yes,50% More productive
965,1963,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Regional,No,40% More productive
966,1972,Male,Between 1 and 5 years,Retail and Food,Between 5 and 19,Couple with dependent children,Regional,Yes,40% More productive
967,1986,Male,Between 1 and 5 years,Retail and Food,Between 20 and 199,Couple with dependent children,Metro,No,50% More productive
968,1991,Male,Between 1 and 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,No,50% More productive
969,1974,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,10% More productive
970,1967,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Regional,No,20% More productive
971,1963,Female,More than 5 years,Service Industry,Between 5 and 19,Couple with dependent children,Regional,No,20% More productive
972,1984,Male,More than 5 years,Retail and Food,More than 200,Couple with dependent children,Regional,Yes,20% More productive
973,1987,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,30% More productive
974,1985,Male,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,Yes,50% Less productive
975,1965,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,40% More productive
976,1993,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,20% More productive
977,1990,Male,More than 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Regional,Yes,40% More productive
978,1960,Female,More than 5 years,Public and utility services,Between 1 and 4,Couple with no dependent children,Metro,No,No Change
979,1974,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,30% Less productive
980,1969,Female,More than 5 years,Service Industry,I am a sole trader/owner-operator,Single person,Metro,No,No Change
981,1976,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,50% More productive
982,1989,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Group household,Metro,No,30% More productive
983,1988,Male,Between 1 and 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
984,1995,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Group household,Metro,No,20% More productive
985,1961,Female,Between 1 and 5 years,Retail and Food,More than 200,Couple with no dependent children,Metro,No,10% Less productive
986,1957,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with no dependent children,Metro,No,20% More productive
987,1988,Female,More than 5 years,Retail and Food,Between 20 and 199,Couple with no dependent children,Metro,Yes,50% More productive
988,1988,Rather not say,More than 5 years,Service Industry,Between 20 and 199,Group household,Metro,No,30% Less productive
989,1996,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Multiple family household,Regional,No,30% More productive
990,1990,Female,Between 1 and 5 years,Service Industry,More than 200,Group household,Regional,No,50% More productive
991,1973,Female,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with no dependent children,Metro,No,20% More productive
992,1957,Female,More than 5 years,Service Industry,More than 200,Couple with no dependent children,Metro,No,No Change
993,1993,Male,Between 1 and 5 years,Service Industry,Between 5 and 19,Multiple family household,Metro,No,No Change
994,1973,Female,More than 5 years,Service Industry,Between 5 and 19,Single person,Metro,Yes,10% Less productive
995,1978,Female,More than 5 years,Service Industry,Between 20 and 199,Single person,Metro,No,50% More productive
996,1967,Female,Between 1 and 5 years,Service Industry,Between 1 and 4,Couple with dependent children,Metro,No,20% More productive
997,1997,Female,Between 6 and 12 months,Service Industry,Between 20 and 199,Single person,Metro,Yes,10% More productive
998,1973,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Regional,No,No Change
999,1999,Male,More than 5 years,Service Industry,Between 5 and 19,Couple with no dependent children,Metro,Yes,No Change
1000,1965,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,30% More productive
1001,1983,Female,Between 1 and 5 years,Retail and Food,More than 200,Single person,Metro,No,No Change
1002,1988,Male,Between 1 and 5 years,Service Industry,More than 200,Group household,Metro,No,30% More productive
1003,1973,Female,Between 1 and 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
1004,1968,Female,More than 5 years,Public and utility services,More than 200,One parent family with dependent children,Metro,No,50% More productive
1005,1971,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,No,No Change
1006,1968,Female,More than 5 years,Service Industry,More than 200,Multiple family household,Metro,No,No Change
1007,1991,Female,Between 1 and 5 years,Service Industry,Between 5 and 19,Single person,Metro,Yes,50% More productive
1008,1957,Female,More than 5 years,Retail and Food,Between 1 and 4,Couple with no dependent children,Regional,No,50% More productive
1009,1977,Female,Between 6 and 12 months,Service Industry,More than 200,Couple with dependent children,Metro,Yes,50% More productive
1010,1978,Female,More than 5 years,Service Industry,More than 200,Single person,Metro,Yes,20% More productive
1011,1990,Female,More than 5 years,Service Industry,More than 200,Group household,Metro,Yes,50% More productive
1012,1961,Female,More than 5 years,Service Industry,Between 1 and 4,Couple with no dependent children,Metro,No,40% More productive
1013,1993,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Group household,Metro,No,20% More productive
1014,2002,Female,Between 1 and 5 years,Public and utility services,Between 20 and 199,Multiple family household,Regional,Yes,50% Less productive
1015,1964,Female,Between 1 and 5 years,Service Industry,More than 200,Single person,Metro,No,20% More productive
1016,1966,Male,More than 5 years,Public and utility services,More than 200,Couple with dependent children,Metro,No,20% Less productive
1017,1988,Male,More than 5 years,Manufacturing and trade,More than 200,Couple with no dependent children,Metro,Yes,30% More productive
1018,1989,Male,Between 6 and 12 months,Service Industry,More than 200,Single person,Metro,Yes,10% More productive
1019,1995,Male,Between 6 and 12 months,Retail and Food,More than 200,Group household,Metro,No,10% Less productive
1020,1986,Male,More than 5 years,Retail and Food,More than 200,Single person,Metro,No,20% More productive
1021,1983,Female,More than 5 years,Service Industry,More than 200,Couple with dependent children,Metro,No,No Change
1022,1987,Male,More than 5 years,Manufacturing and trade,More than 200,One parent family with dependent children,Regional,Yes,20% Less productive
1023,1975,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Couple with dependent children,Metro,Yes,20% Less productive
1024,1986,Male,More than 5 years,Manufacturing and trade,More than 200,Group household,Metro,No,20% More productive
1025,1996,Female,Between 1 and 5 years,Service Industry,More than 200,Other one family household,Metro,No,20% More productive
1026,1992,Male,Between 1 and 5 years,Service Industry,Between 20 and 199,Single person,Metro,No,30% Less productive
